time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-11-25T06:10:42.210Z,34.8274,-97.802,8.28,2.6,mb_lg,,78,0.227,0.94,us,us1000415x,2016-02-18T04:48:54.040Z,"15km ENE of Rush Springs, Oklahoma",earthquake,2.1,6.8,0.154,11,reviewed,us,us
2015-11-19T14:29:58.100Z,34.8413,-97.8102,5,2.5,ml,,102,,0.86,us,us10003zp9,2016-02-18T04:48:43.040Z,"14km ENE of Rush Springs, Oklahoma",earthquake,1.7,1.5,,,reviewed,tul,tul
2015-11-16T03:09:02.770Z,32.8702,-96.9488,5,2.4,mb_lg,,58,0.015,0.92,us,us10003ykk,2016-02-13T02:08:24.040Z,"6km N of Irving, Texas",earthquake,2.4,1.8,0.132,15,reviewed,us,us
2015-11-15T22:07:51.400Z,32.8476,-96.9288,8.72,2,ml,,49,0.017,0.24,us,us10003yvs,2016-02-13T02:08:23.040Z,"4km NNE of Irving, Texas",earthquake,1.6,2.8,0.128,8,reviewed,us,us
2015-11-06T06:25:59.500Z,35.6421,-98.0139,1.992,2.7,ml,,98,,0.68,us,us10003v4u,2016-02-05T03:16:32.040Z,"9km SSW of Okarche, Oklahoma",earthquake,0.9,8.1,,,reviewed,tul,tul
2015-11-03T02:37:41.390Z,32.8566,-96.9525,5,2.2,mb_lg,,73,0.036,0.5,us,us200041i8,2016-01-30T02:11:04.040Z,"4km N of Irving, Texas",earthquake,1.6,1.8,0.255,4,reviewed,us,us
2015-10-29T22:24:39.570Z,32.8325,-96.9209,5,2.5,mb_lg,,73,0.001,0.41,us,us200040lc,2016-01-30T02:10:55.040Z,"3km NE of Irving, Texas",earthquake,2.2,1.6,0.128,16,reviewed,us,us
2015-10-28T01:33:37.110Z,32.8608,-96.9495,5,2.2,mb_lg,,65,0.018,0.51,us,us20004020,2016-01-22T23:41:20.040Z,"5km N of Irving, Texas",earthquake,1.8,1.7,0.255,4,reviewed,us,us
2015-10-27T13:01:07.520Z,32.8725,-96.924,5,2.3,mb_lg,,57,0.031,0.39,us,us20003zz7,2016-01-22T23:41:19.040Z,"6km NNE of Irving, Texas",earthquake,1.7,1.5,0.193,7,reviewed,us,us
2015-10-19T23:12:03.180Z,32.8659,-96.9394,5,2.3,mb_lg,,58,0.024,0.44,us,us10003rn3,2016-01-15T20:51:19.040Z,"5km N of Irving, Texas",earthquake,0.9,1.8,0.295,3,reviewed,us,us
2015-10-19T22:39:47.980Z,32.8755,-96.9134,5,2.7,mb_lg,,57,0.029,0.61,us,us10003pt3,2016-01-15T20:51:18.040Z,"5km SSW of Farmers Branch, Texas",earthquake,2.6,1.8,0.124,17,reviewed,us,us
2015-10-18T00:17:37.060Z,32.8733,-96.9165,6.53,2.4,mb_lg,,45,0.028,0.34,us,us10003pfv,2016-01-15T20:51:00.040Z,"6km SSW of Farmers Branch, Texas",earthquake,2.4,4.8,0.12,18,reviewed,us,us
2015-10-08T16:04:54.900Z,35.6326,-98.0204,3.889,2.8,ml,,98,,0.78,us,us10003l4t,2016-01-11T21:07:16.040Z,"11km SSW of Okarche, Oklahoma",earthquake,1.6,6.5,,,reviewed,tul,tul
2015-10-04T05:57:09.220Z,32.8633,-96.9174,5,2.1,ml,,67,0.021,0.81,us,us10003ka4,2016-01-04T22:29:02.040Z,"6km NNE of Irving, Texas",earthquake,1.5,1.6,0.128,8,reviewed,us,us
2015-10-01T21:28:26.140Z,32.8119,-96.922,5,2.7,mb_lg,,79,0.019,0.58,us,us10003jlk,2016-09-07T13:21:42.469Z,"2km E of Irving, Texas",earthquake,1.4,1.8,0.12,18,reviewed,us,us
2015-09-22T10:18:43.020Z,32.8838,-96.9187,5,2.4,mb_lg,,49,0.013,0.4,us,us20003nhr,2015-12-21T23:16:31.040Z,"5km SSW of Farmers Branch, Texas",earthquake,1.1,1.7,0.154,11,reviewed,us,us
2015-09-20T23:25:08.930Z,32.8279,-96.9556,5,2.6,mb_lg,,65,0.029,0.92,us,us20003ma6,2015-12-21T23:16:28.040Z,"1km NNW of Irving, Texas",earthquake,2,1.3,0.079,42,reviewed,us,us
2015-09-16T21:55:24.080Z,32.8411,-96.9448,5,2.1,ml,,76,0.022,0.52,us,us20003k71,2015-12-12T00:42:57.040Z,"3km N of Irving, Texas",earthquake,2,1.2,0.128,8,reviewed,us,us
